fecha,consumo_miles_m3
2010/01,68.874
2010/02,60.128
2010/03,84.494
2010/04,79.147
2010/05,72.691
2010/06,69.217
2010/07,66.817
2010/08,71.637
2010/09,70.391
2010/10,83.131
2010/11,78.393
2010/12,83.810
2011/01,62.861
2011/02,68.118
2011/03,79.468
2011/04,81.208
2011/05,80.520
2011/06,69.411
2011/07,65.623
2011/08,69.487
2011/09,79.105
2011/10,72.276
2011/11,90.184
2011/12,82.524
2012/01,65.557
2012/02,68.499
2012/03,76.230
2012/04,79.642
2012/05,81.502
2012/06,69.397
2012/07,69.828
2012/08,63.321
2012/09,70.775
2012/10,70.809
2012/11,91.948
2012/12,68.126
2013/01,66.421
2013/02,60.778
2013/03,72.404
2013/04,89.360
2013/05,77.861
2013/06,75.239
2013/07,68.966
2013/08,74.988
2013/09,62.599
2013/10,84.244
2013/11,75.171
2013/12,86.153
2014/01,59.339
2014/02,57.194
2014/03,72.207
2014/04,89.310
2014/05,76.066
2014/06,73.352
2014/07,69.027
2014/08,73.314
2014/09,73.187
2014/10,78.393
2014/11,77.614
2014/12,76.118
2015/01,63.525
2015/02,66.114
2015/03,81.840
2015/04,94.411
2015/05,72.216
2015/06,73.396
2015/07,69.015
2015/08,54.216
2015/09,68.598
2015/10,75.792
2015/11,77.121
2015/12,73.694
2016/01,58.508
2016/02,64.067
2016/03,71.292
2016/04,63.507
2016/05,92.671
2016/06,75.593
2016/07,60.075
2016/08,75.489
2016/09,72.919
2016/10,72.078
2016/11,87.139
2016/12,83.367
2017/01,57.049
2017/02,61.480
2017/03,85.298
2017/04,79.316
2017/05,76.510
2017/06,78.722
2017/07,65.008
2017/08,67.392
2017/09,67.824
2017/10,82.972
2017/11,92.370
2017/12,83.037
2018/01,61.404
2018/02,65.268
2018/03,77.342
2018/04,76.701
2018/05,83.383
2018/06,72.094
2018/07,60.169
2018/08,72.907
2018/09,68.894
2018/10,85.930
2018/11,86.293
2018/12,71.868
2019/01,63.058
2019/02,70.158
2019/03,78.299
2019/04,87.609
2019/05,83.139
2019/06,63.755
2019/07,72.324
2019/08,75.045
2019/09,73.492
2019/10,72.378
2019/11,89.456
2019/12,77.864
2020/01,67.645
2020/02,68.607
2020/03,72.908
2020/04,72.005
2020/05,74.082
2020/06,66.408
2020/07,72.149
2020/08,70.691
2020/09,73.769
2020/10,81.305
2020/11,85.335
2020/12,79.887
