Fecha,area_total
31/1/2010,32000
28/2/2010,32000
31/3/2010,112969.5
30/4/2010,380469.5
31/5/2010,454800
30/6/2010,454800
31/7/2010,155300
31/8/2010,0
30/9/2010,85225
31/10/2010,383058.34
30/11/2010,616008.34
31/12/2010,551008.34
31/1/2011,26966.67
28/2/2011,26966.67
31/3/2011,124466.67
30/4/2011,395333.34
31/5/2011,530500.01
30/6/2011,530500.01
31/7/2011,232666.67
31/8/2011,0
30/9/2011,91432
31/10/2011,415398.67
30/11/2011,764398.67
31/12/2011,703941.67
31/1/2012,41300
29/2/2012,41300
31/3/2012,131985.5
30/4/2012,414652.17
31/5/2012,513066.67
30/6/2012,513066.67
31/7/2012,189100
31/8/2012,0
30/9/2012,88284.33
31/10/2012,454617.66
30/11/2012,738267.66
31/12/2012,680733.33
31/1/2013,41000
28/2/2013,41000
31/3/2013,127301.5
30/4/2013,452634.83
31/5/2013,544300
30/6/2013,544300
31/7/2013,177966.67
31/8/2013,0
30/9/2013,88508.67
31/10/2013,554108.67
30/11/2013,821058.67
31/12/2013,765325
31/1/2014,43700
28/2/2014,43700
31/3/2014,124066.5
30/4/2014,545966.5
31/5/2014,631700
30/6/2014,631700
31/7/2014,166100
31/8/2014,0
30/9/2014,74377.67
31/10/2014,546277.67
30/11/2014,795427.67
31/12/2014,741850
31/1/2015,27733.33
28/2/2015,27733.33
31/3/2015,108099.83
30/4/2015,552266.5
31/5/2015,612800
30/6/2015,612800
31/7/2015,140900
31/8/2015,0
30/9/2015,74481.33
31/10/2015,476814.66
30/11/2015,688164.66
31/12/2015,634433.33
31/1/2016,27666.67
29/2/2016,27666.67
31/3/2016,108263.67
30/4/2016,482930.33
31/5/2016,537333.33
30/6/2016,537333.33
31/7/2016,135000
31/8/2016,0
30/9/2016,71319
31/10/2016,449985.67
30/11/2016,652485.67
31/12/2016,597666.67
31/1/2017,22000
28/2/2017,22000
31/3/2017,104228.5
30/4/2017,460895.17
31/5/2017,494000
30/6/2017,494000
31/7/2017,115333.33
31/8/2017,0
30/9/2017,71927.53
31/10/2017,447727.53
30/11/2017,620727.53
31/12/2017,566600
31/1/2018,23733.33
28/2/2018,23733.33
31/3/2018,104924.63
30/4/2018,456991.3
31/5/2018,497700
30/6/2018,497700
31/7/2018,121900
31/8/2018,0
30/9/2018,75076.67
31/10/2018,407743.34
30/11/2018,590593.34
31/12/2018,542266.67
31/1/2019,35666.67
28/2/2019,35666.67
31/3/2019,108156.67
30/4/2019,405156.67
31/5/2019,466800.01
30/6/2019,466800.01
31/7/2019,134133.34
31/8/2019,0
30/9/2019,75941.67
31/10/2019,388875
30/11/2019,590075
31/12/2019,543308.33
31/1/2020,38900
29/2/2020,38900
31/3/2020,109050
30/4/2020,383083.33
31/5/2020,446266.66
30/6/2020,446266.66
31/7/2020,133333.33
