Fecha,consumo_miles_m3
31/1/2010,68.874
28/2/2010,60.128
31/3/2010,84.494
30/4/2010,79.147
31/5/2010,72.691
30/6/2010,69.217
31/7/2010,66.817
31/8/2010,71.637
30/9/2010,70.391
31/10/2010,83.131
30/11/2010,78.393
31/12/2010,83.81
31/1/2011,62.861
28/2/2011,68.118
31/3/2011,79.468
30/4/2011,81.208
31/5/2011,80.52
30/6/2011,69.411
31/7/2011,65.623
31/8/2011,69.487
30/9/2011,79.105
31/10/2011,72.276
30/11/2011,90.184
31/12/2011,82.524
31/1/2012,65.557
29/2/2012,68.499
31/3/2012,76.23
30/4/2012,79.642
31/5/2012,81.502
30/6/2012,69.397
31/7/2012,69.828
31/8/2012,63.321
30/9/2012,70.775
31/10/2012,70.809
30/11/2012,91.948
31/12/2012,68.126
31/1/2013,66.421
28/2/2013,60.778
31/3/2013,72.404
30/4/2013,89.36
31/5/2013,77.861
30/6/2013,75.239
31/7/2013,68.966
31/8/2013,74.988
30/9/2013,62.599
31/10/2013,84.244
30/11/2013,75.171
31/12/2013,86.153
31/1/2014,59.339
28/2/2014,57.194
31/3/2014,72.207
30/4/2014,89.31
31/5/2014,76.066
30/6/2014,73.352
31/7/2014,69.027
31/8/2014,73.314
30/9/2014,73.187
31/10/2014,78.393
30/11/2014,77.614
31/12/2014,76.118
31/1/2015,63.525
28/2/2015,66.114
31/3/2015,81.84
30/4/2015,94.411
31/5/2015,72.216
30/6/2015,73.396
31/7/2015,69.015
31/8/2015,54.216
30/9/2015,68.598
31/10/2015,75.792
30/11/2015,77.121
31/12/2015,73.694
31/1/2016,58.508
29/2/2016,64.067
31/3/2016,71.292
30/4/2016,63.507
31/5/2016,92.671
30/6/2016,75.593
31/7/2016,60.075
31/8/2016,75.489
30/9/2016,72.919
31/10/2016,72.078
30/11/2016,87.139
31/12/2016,83.367
31/1/2017,57.049
28/2/2017,61.48
31/3/2017,85.298
30/4/2017,79.316
31/5/2017,76.51
30/6/2017,78.722
31/7/2017,65.008
31/8/2017,67.392
30/9/2017,67.824
31/10/2017,82.972
30/11/2017,92.37
31/12/2017,83.037
31/1/2018,61.404
28/2/2018,65.268
31/3/2018,77.342
30/4/2018,76.701
31/5/2018,83.383
30/6/2018,72.094
31/7/2018,60.169
31/8/2018,72.907
30/9/2018,68.894
31/10/2018,85.93
30/11/2018,86.293
31/12/2018,71.868
31/1/2019,63.058
28/2/2019,70.158
31/3/2019,78.299
30/4/2019,87.609
31/5/2019,83.139
30/6/2019,63.755
31/7/2019,72.324
31/8/2019,75.045
30/9/2019,73.492
31/10/2019,72.378
30/11/2019,89.456
31/12/2019,77.864
31/1/2020,67.645
29/2/2020,68.607
31/3/2020,72.908
30/4/2020,72.005
31/5/2020,74.082
30/6/2020,66.408
31/7/2020,72.149
31/8/2020,70.691
30/9/2020,73.769
31/10/2020,81.305
30/11/2020,85.335
31/12/2020,79.887
